Date,Close,High,Low,Open,Volume
2017-12-26,267.19,267.44,266.89,267.05,45244433
2017-12-27,267.32,267.73,267.01,267.38,57750986
2017-12-28,267.87,267.92,267.45,267.89,45116139
2017-12-29,266.86,268.55,266.64,268.53,96007424
2018-01-02,268.77,268.81,267.4,267.84,86655749
2018-01-03,270.47,270.64,268.96,268.96,90070416
2018-01-04,271.61,272.16,270.54,271.2,80636408
2018-01-05,273.42,273.56,271.95,272.51,83523995
2018-01-08,273.92,274.1,272.98,273.31,57319192
2018-01-09,274.54,275.25,274.08,274.4,57253957
2018-01-10,274.12,274.42,272.92,273.68,69574318
2018-01-11,276.12,276.12,274.56,274.75,62361455
2018-01-12,277.92,278.11,276.08,276.42,90816076
2018-01-16,276.97,280.09,276.18,279.35,106555142
2018-01-17,279.61,280.05,276.97,278.03,113258799
2018-01-18,279.14,279.96,278.58,279.48,100728006
2018-01-19,280.41,280.41,279.14,279.8,140920098
2018-01-22,282.69,282.69,280.11,280.17,91322408
2018-01-23,283.29,283.62,282.37,282.74,97084700
2018-01-24,283.18,284.7,281.84,284.02,134816117
2018-01-25,283.3,284.27,282.4,284.16,84587313
2018-01-26,286.58,286.63,283.96,284.25,107743119
2018-01-29,284.68,286.43,284.5,285.93,90118337
2018-01-30,281.76,284.74,281.22,282.6,131796419
2018-01-31,281.9,283.3,280.68,282.73,118948131
2018-02-01,281.58,283.06,280.68,281.07,90102470
2018-02-02,275.45,280.23,275.41,280.08,173174790
2018-02-05,263.93,275.85,263.31,273.45,294681816
2018-02-06,269.13,269.7,258.7,259.94,355026782
2018-02-07,267.67,272.36,267.58,268.5,167376100
2018-02-08,257.63,268.17,257.59,268.01,246449505
2018-02-09,261.5,263.61,252.92,260.8,283565315
2018-02-12,265.34,267.01,261.66,263.83,143735976
2018-02-13,266.0,266.62,263.31,263.97,81223640
2018-02-14,269.59,270.0,264.3,264.31,120735685
2018-02-15,273.03,273.04,268.77,271.57,111200286
2018-02-16,273.11,275.32,272.27,272.32,160420135
2018-02-20,271.4,273.67,270.5,272.03,86369662
2018-02-21,270.05,274.72,269.94,271.9,98883740
2018-02-22,270.4,273.05,269.64,271.1,110511290
2018-02-23,274.71,274.71,271.25,271.79,92766428
2018-02-26,277.9,278.01,275.26,275.93,86491406
2018-02-27,274.43,278.92,274.36,278.11,99099165
2018-02-28,271.65,276.19,271.29,275.68,121907767
2018-03-01,267.7,273.17,266.0,271.41,176855077
2018-03-02,269.08,269.72,264.82,265.8,139083217
2018-03-05,272.19,272.89,267.61,267.73,97307387
2018-03-06,272.88,273.39,271.18,273.3,79213163
2018-03-07,272.78,273.18,270.2,270.42,87063502
2018-03-08,274.1,274.24,272.42,273.55,66901150
