Date,Close,High,Low,Open,Volume
2017-12-26,39.98,40.2,39.78,40.04,132742000
2017-12-27,39.99,40.03,39.78,39.87,85992800
2017-12-28,40.1,40.28,39.96,40.09,65920800
2017-12-29,39.67,39.99,39.67,39.97,103999600
2018-01-02,40.38,40.39,39.68,39.89,102223600
2018-01-03,40.37,40.92,40.31,40.44,118071600
2018-01-04,40.56,40.66,40.34,40.45,89738400
2018-01-05,41.02,41.11,40.57,40.66,94640000
2018-01-08,40.87,41.17,40.77,40.87,82271200
2018-01-09,40.87,41.04,40.65,40.92,86336000
2018-01-10,40.86,40.86,40.55,40.59,95839600
2018-01-11,41.09,41.14,40.9,40.93,74670800
2018-01-12,41.51,41.58,41.18,41.3,101672400
2018-01-16,41.3,42.05,41.29,41.7,118263600
2018-01-17,41.98,42.02,41.04,41.29,137547200
2018-01-18,42.02,42.22,41.79,42.05,124773600
2018-01-19,41.83,42.1,41.59,41.87,129700400
2018-01-22,41.49,41.67,41.4,41.56,108434400
2018-01-23,41.5,42.06,41.45,41.56,130756400
2018-01-24,40.84,41.56,40.6,41.55,204420400
2018-01-25,40.11,41.01,39.98,40.91,166116000
2018-01-26,40.21,40.32,39.87,40.32,156572000
2018-01-29,39.37,39.89,39.16,39.89,202561600
2018-01-30,39.14,39.23,38.61,38.8,184192800
2018-01-31,39.25,39.49,39.03,39.12,129915600
2018-02-01,39.33,39.53,39.09,39.19,188923200
2018-02-02,37.62,39.1,37.53,38.91,346375200
2018-02-05,36.68,38.42,36.57,37.3,290954000
2018-02-06,38.22,38.38,36.1,36.3,272975200
2018-02-07,37.4,38.3,37.29,38.23,206434400
2018-02-08,36.37,37.74,36.34,37.57,217562000
2018-02-09,36.81,37.16,35.36,36.97,282690400
2018-02-12,38.3,38.58,37.07,37.31,243278000
2018-02-13,38.68,38.78,38.05,38.12,130196800
2018-02-14,39.39,39.43,38.34,38.38,162579600
2018-02-15,40.72,40.74,39.78,39.96,204588800
2018-02-16,40.59,41.15,40.43,40.57,160704400
2018-02-20,40.45,41.02,40.35,40.5,135722000
2018-02-21,40.27,40.98,40.25,40.68,149886400
2018-02-22,40.6,40.94,40.42,40.44,123967600
2018-02-23,41.31,41.34,40.85,40.88,135249600
2018-02-26,42.12,42.22,41.48,41.51,152648800
2018-02-27,41.99,42.48,41.93,42.16,155712400
2018-02-28,41.92,42.51,41.91,42.19,151128400
2018-03-01,41.19,42.32,40.64,42.02,195208000
2018-03-02,41.48,41.5,40.59,40.67,153816000
2018-03-05,41.62,41.84,41.08,41.24,113605600
2018-03-06,41.58,41.96,41.46,41.88,95154000
2018-03-07,41.2,41.39,41.02,41.18,126814000
2018-03-08,41.65,41.69,41.21,41.3,95096400
2018-03-09,42.36,42.37,41.75,41.89,128740800
2018-03-12,42.77,42.93,42.42,42.44,128828400
2018-03-13,42.36,43.19,42.19,42.98,126774000
2018-03-14,42.0,42.49,41.85,42.44,117473600
2018-03-15,42.05,42.42,41.91,42.01,90975200
2018-03-16,41.9,42.16,41.81,42.05,157618800
2018-03-19,41.26,41.77,40.88,41.74,133787200
2018-03-20,41.25,41.61,41.18,41.25,78597600
2018-03-21,40.31,41.21,40.31,41.2,148219600
2018-03-22,39.74,40.64,39.68,40.01,165963200
2018-03-23,38.82,39.99,38.82,39.63,164115200
2018-03-26,40.67,40.74,39.18,39.56,150164800
2018-03-27,39.62,41.23,39.29,40.88,163690400
2018-03-28,39.19,40.02,38.88,39.37,166674000
2018-03-29,39.49,40.43,39.28,39.5,153594000
2018-04-02,39.23,39.76,38.71,39.22,150347200
2018-04-03,39.63,39.72,38.81,39.46,121112000
2018-04-04,40.39,40.49,38.78,38.81,138422000
2018-04-05,40.67,41.01,40.5,40.62,107732800
2018-04-06,39.63,40.6,39.59,40.24,140021200
2018-04-09,40.03,40.74,39.98,39.99,116070800
2018-04-10,40.78,40.96,40.37,40.72,113634400
2018-04-11,40.59,40.94,40.41,40.54,89726400
2018-04-12,40.99,41.19,40.73,40.82,91557200
2018-04-13,41.13,41.39,40.92,41.14,100497200
